feature_set,replicate,r2,spearman,mae,mse,
Plasmid length,1,0.589087185,0.703660613,0.476901321,0.524779215,
Plasmid length,2,0.629357504,0.709813399,0.45920964,0.452555604,
Plasmid length,3,0.648824994,0.724174295,0.452760094,0.436430582,
Domains,1,0.690199054,0.794279906,0.400569893,0.395648642,
Domains,2,0.713830736,0.804703254,0.386243042,0.349413533,
Domains,3,0.734480553,0.804566963,0.384930848,0.329980223,
Kmers,1,0.700529916,0.796721892,0.3944334,0.382455037,
Kmers,2,0.733786634,0.80746587,0.382039329,0.325047321,
Kmers,3,0.745488851,0.814232356,0.377215094,0.316299415,
Domains+plasmid length,1,0.698465573,0.80446377,0.393891599,0.385091421,
Domains+plasmid length,2,0.730639836,0.815602364,0.375442406,0.328889572,
Domains+plasmid length,3,0.740447227,0.819654131,0.374460634,0.322565005,
Domains+kmers,1,0.705670891,0.803647346,0.389279597,0.375889467,
Domains+kmers,2,0.740740974,0.818529078,0.374393276,0.316556051,
Domains+kmers,3,0.749640781,0.82147895,0.371676722,0.311139511,
Kmers+plasmid length,1,0.700440697,0.797322811,0.394987976,0.382568978,
Kmers+plasmid length,2,0.731837938,0.806359038,0.382689404,0.327426685,
Kmers+plasmid length,3,0.744420486,0.814674504,0.377813312,0.317627149,
Domains+chromosome length,1,0.681853758,0.794028556,0.394951812,0.406306469,
Domains+chromosome length,2,0.704703618,0.804505823,0.383662778,0.360557771,
Domains+chromosome length,3,0.750116285,0.810986946,0.371610716,0.310548568,
Kmers+chromosome length,1,0.703665658,0.801475244,0.392941532,0.378450361,
Kmers+chromosome length,2,0.740276824,0.809251344,0.376389005,0.31712278,
Kmers+chromosome length,3,0.748415475,0.817170959,0.376609269,0.312662287,
Domains+kmers+plasmid length,1,0.705549207,0.804342585,0.389651465,0.376044869,
Domains+kmers+plasmid length,2,0.73882971,0.818432737,0.374875699,0.31888971,
Domains+kmers+plasmid length,3,0.750338233,0.821689169,0.372374262,0.310272736,
Domains+plasmid length+chromosome length,1,0.704876839,0.809826489,0.385815421,0.376903554,
Domains+plasmid length+chromosome length,2,0.749396242,0.823602561,0.362771846,0.305987943,
Domains+plasmid length+chromosome length,3,0.761013927,0.829552881,0.365078251,0.29700528,
All features,1,0.708608286,0.807548725,0.386845667,0.372138102,
All features,2,0.74555482,0.820881983,0.368603612,0.310678331,
All features,3,0.754673878,0.826309548,0.369146485,0.304884516,
