SampleID,Actual log1p PCN,Predicted log1p PCN,Actual_PCN,Predicted_PCN
9538,2.897856203,3.110385889,17.13522542,21.4296981
7532,1.596965547,2.190154539,3.938025461,7.93659406
6615,1.260867506,1.896446163,2.528481139,5.662176034
2992,0.75045491,0.811115739,1.11796328,1.250417465
8938,2.505635295,4.158051564,11.25133971,62.94680488
6098,1.150767602,1.10553342,2.160618076,2.020835413
304,0.359448967,3.019859418,0.43253982,19.48841118
9642,2.971040827,2.473912176,18.51221787,10.86878893
5034,0.980637878,0.821115111,1.666156382,1.273033109
1470,0.590848419,0.564847804,0.805519603,0.759180022
1350,0.574684843,0.694674768,0.77657054,1.00305751
1284,0.562488525,0.635939716,0.755034518,0.88879624
2742,0.725911968,0.698776186,1.066614928,1.011289756
7298,1.479383486,1.130026889,3.390238203,2.09573974
10913,4.725392302,2.708387548,111.7747314,14.00506106
651,0.449659507,0.780128254,0.567778277,1.181752066
10912,4.721206275,3.750130855,111.3036401,41.52664646
3833,0.836477682,0.667930312,1.308222348,0.950196842
1795,0.633845197,1.012429452,0.88484426,1.75227943
4684,0.931589191,1.343088121,1.538540199,2.830855403
1713,0.621559297,0.726750467,0.861828924,1.068348509
8611,2.27727397,2.845422507,8.750065179,16.20882798
3274,0.780793498,0.77009046,1.183203946,1.159961635
10163,3.402131523,2.623414016,29.02803733,12.7826977
7387,1.519941521,1.953825837,3.571957824,6.055629699
5909,1.11568664,0.815957891,2.051662854,1.261340753
3834,0.836479212,0.599979236,1.30822588,0.822080966
6553,1.244951597,1.314102333,2.472766703,2.721408899
8860,2.442743445,3.210882775,10.50455961,23.80097024
408,0.389501678,0.448651299,0.476244965,0.566198427
2864,0.736821657,0.792578252,1.089284488,1.209084667
3166,0.769915648,1.190626062,1.159584081,2.289139768
10000,3.273592564,2.366167091,25.40603451,9.656468631
8365,2.117184313,1.619475216,7.307712606,4.050439231
9507,2.876954762,3.757350571,16.76010699,41.83478778
6657,1.272017541,1.106758247,2.56804398,2.024537681
10346,3.610425785,2.594974484,35.98179576,12.39624554
3933,0.848335233,1.273347377,1.335755125,2.57279205
8845,2.433046818,0.803586405,10.3935433,1.23353695
9266,2.720747482,2.47212708,14.1916735,10.84762091
9040,2.569522865,1.609562987,12.05959177,4.000625412
9704,3.014515865,3.519695732,19.37922226,32.77415051
3952,0.851128237,0.865299283,1.342288018,1.375716991
3570,0.810743601,0.675532802,1.249580155,0.965079695
