Clans,Observed,Total,Expected,P-value
P-loop_NTPase,109,229,25.57461198,2.01E-44
NADP_Rossmann,81,247,27.58484349,3.34E-20
HTH,105,402,44.89517038,1.43E-17
RNase_H,26,62,6.924130755,5.36E-10
PBP,14,26,2.903667736,1.16E-07
His_Kinase_A,8,11,1.228474811,2.87E-06
4Fe-4S,13,28,3.127026793,2.95E-06
Thioredoxin,17,50,5.583976416,1.58E-05
Acetyltrans,14,38,4.243822076,3.17E-05
IHF-likeDNA-bdg,5,6,0.67007717,9.39E-05
AB_hydrolase,20,74,8.264285095,0.000123331
Pentapeptide,4,4,0.446718113,0.000154916
Ank,5,7,0.781756698,0.000298314
MFS,9,23,2.568629151,0.000499286
Periplas_BP,6,11,1.228474811,0.000538799
vWA-like,7,15,1.675192925,0.000609306
Fer2,4,5,0.558397642,0.000705566
Hybrid,11,34,3.797103963,0.000808193
Toprim-like,6,12,1.34015434,0.000976005
PGM_I-III,3,3,0.335038585,0.001390021
TolA-TonB-Cterm,3,3,0.335038585,0.001390021
Beta-lactamase,4,6,0.67007717,0.001928861
HEXAPEP,4,6,0.67007717,0.001928861
Secretin_N0,4,6,0.67007717,0.001928861
Met_repress,14,55,6.142374057,0.00231739
PAS_Fold,8,23,2.568629151,0.002487341
THDP-binding,5,10,1.116795283,0.002680439
Actin_ATPase,10,34,3.797103963,0.00308502
APC,7,20,2.233590566,0.00444346
CU_oxidase,5,12,1.34015434,0.006957376
GAF,6,18,2.01023151,0.010882977
l-integrase_N,4,9,1.005115755,0.012290296
FAD_PCMH,2,2,0.223359057,0.012463714
HUH,2,2,0.223359057,0.012463714
His_phosphatase,2,2,0.223359057,0.012463714
Mu-transpos_C,2,2,0.223359057,0.012463714
WYL,2,2,0.223359057,0.012463714
LysE,6,19,2.121911038,0.014432717
PLP_aminotran,6,20,2.233590566,0.018713827
DNA_clamp,3,6,0.67007717,0.021431135
Membrane_trans,3,6,0.67007717,0.021431135
PKinase,8,32,3.573744906,0.021549146
GT-B,11,51,5.695655944,0.02301055
ClpP_crotonase,4,11,1.228474811,0.026829284
PRTase-like,3,7,0.781756698,0.034427294
RND_permease,3,7,0.781756698,0.034427294
DNA_prim_N,2,3,0.335038585,0.0346111
JAB,2,3,0.335038585,0.0346111
Peptidase_SF,2,3,0.335038585,0.0346111
PLD,4,12,1.34015434,0.036765239
Glyoxalase,5,18,2.01023151,0.042742099
Rep,4,13,1.451833868,0.048536713
Acyl-CoA_dh,3,8,0.893436226,0.050593451
ATP-grasp,7,32,3.573744906,0.05922185
ABC-2,4,14,1.563513396,0.062133991
HAD,6,26,2.903667736,0.062534405
BPD_transp_1,2,4,0.446718113,0.064126862
DHQS,2,4,0.446718113,0.064126862
RdRP,2,4,0.446718113,0.064126862
PIN,5,20,2.233590566,0.064232181
OB,15,89,9.93947802,0.067500032
PDZ-like,3,9,1.005115755,0.069745029
Peptidase_PA,3,9,1.005115755,0.069745029
TetR_C,9,49,5.472296887,0.090200246
GST_C,3,10,1.116795283,0.091622812
Plasmid_toxin,4,16,1.786872453,0.094588664
4HB_MCP,2,5,0.558397642,0.099091437
DmpA_ArgJ,2,5,0.558397642,0.099091437
HSP20,2,5,0.558397642,0.099091437
Ribokinase,2,5,0.558397642,0.099091437
pap2,2,5,0.558397642,0.099091437
5_3_exonuc_C,1,1,0.111679528,0.111679528
Antibiotic_NAT,1,1,0.111679528,0.111679528
C4-like,1,1,0.111679528,0.111679528
CobW_C,1,1,0.111679528,0.111679528
CorA-like,1,1,0.111679528,0.111679528
MlaD-like,1,1,0.111679528,0.111679528
NusG-like,1,1,0.111679528,0.111679528
PRD,1,1,0.111679528,0.111679528
PTase-anion_tr,1,1,0.111679528,0.111679528
Peptidase_AD,1,1,0.111679528,0.111679528
TIM_barrel,25,174,19.43223793,0.111867603
Acyl_transf_3,2,6,0.67007717,0.137921588
ParBc,2,6,0.67007717,0.137921588
TrbC_VirB2,2,6,0.67007717,0.137921588
NTF2,7,40,4.467181132,0.152510477
IT,4,19,2.121911038,0.154896661
