Target,Correlation,p_value,q_value
1-cysPrx_C,-0.015783133,0.093887772,0.448181984
12TM_1,-0.003052077,0.745990344,0.870043435
17kDa_Anti_2,-0.006648243,0.480427759,0.870043435
2-Hacid_dh,-0.042498601,6.40E-06,0.000117979
2-Hacid_dh_C,-0.061325571,7.27E-11,2.72E-09
2-oxoacid_dh,-0.018134292,0.054250693,0.300515484
2-oxogl_dehyd_N,-0.005264097,0.576362819,0.870043435
2-ph_phosp,-0.005283152,0.57498309,0.870043435
2-thiour_desulf,-0.020646359,0.028414082,0.186952368
23S_rRNA_IVP,-0.010374342,0.270851521,0.820994765
2CSK_N,-0.016413598,0.081479765,0.408087821
2C_adapt,-0.001691067,0.85756047,0.876884233
2Fe-2S_thioredx,-0.011812639,0.20992543,0.725632425
2H-SAK,-0.00199191,0.832567135,0.870043435
2H-phosphodiest,-0.005231328,0.578739136,0.870043435
2HCT,-0.010229499,0.277598623,0.827914382
2OG-FeII_Oxy,-0.017656519,0.060915374,0.3280198
2OG-FeII_Oxy_2,-0.013764122,0.144038687,0.586581277
2OG-FeII_Oxy_3,-0.019726069,0.036276265,0.221596488
2OG-FeII_Oxy_4,-0.01076934,0.253026143,0.79814744
2OG-FeII_Oxy_5,-0.004244078,0.652389947,0.870043435
2OG-Fe_Oxy_2,-0.003830475,0.684341144,0.870043435
2TM,-0.009346062,0.321217102,0.870043435
2_5_RNA_ligase2,-0.013245419,0.159767022,0.624499166
3-HAO,-0.01284072,0.172914765,0.652988207
3-dmu-9_3-mt,-0.017128779,0.069051109,0.361820283
3Beta_HSD,-0.050241112,9.52E-08,2.40E-06
3D,-0.010356422,0.271680168,0.821953665
3HBOH,-0.002046434,0.828054654,0.870043435
3HCDH,-0.026953803,0.00421982,0.039184532
3HCDH_N,-0.054056716,9.39E-09,2.73E-07
3HCDH_RFF,-0.004360744,0.643488395,0.870043435
3keto-disac_hyd,-0.011637827,0.216750499,0.740018801
4HBT,-0.034482594,0.000251354,0.003282976
4HBT_2,-0.027992531,0.002962994,0.029307214
4HBT_3,-0.024670885,0.008823271,0.07429221
4HBT_3C,-0.011875036,0.207527401,0.721342229
4HB_MCP_1,-0.031623834,0.00078732,0.009237189
4HFCP_synth,-0.003035927,0.747288419,0.870043435
4PPT_N,-0.012919492,0.1702942,0.645841172
5-FTHF_cyc-lig,-0.007932666,0.399820648,0.870043435
5-nucleotidase,-0.003801738,0.686583022,0.870043435
56B_RHH,-0.017095387,0.069594581,0.364171646
5TM-5TMR_LYT,-0.011599439,0.218270377,0.742789101
5_3_exonuc,-0.032699345,0.000517652,0.00634024
5_3_exonuc_N,-0.032582222,0.000542162,0.006595736
5_nucleotid_C,-0.016246141,0.084637932,0.418830136
60KD_IMP,-0.005139988,0.585387045,0.870043435
6PF2K,-0.003548259,0.706475863,0.870043435
6PGD,-0.016359664,0.082486338,0.411608334
7TMR-DISMED2,-0.007138443,0.448664338,0.870043435
7TMR-DISM_7TM,-0.011971627,0.203854495,0.712872616
7TMR-HDED,-0.001988916,0.832815119,0.870043435
7TM_GPCR_Srd,-0.002666311,0.777186316,0.870043435
7TM_GPCR_Sri,-0.002937215,0.755238098,0.870043435
7TM_transglut,-0.002208534,0.814673234,0.870043435
7tm_1,-0.002124515,0.821602524,0.870043435
8xMP,-0.014902774,0.113698868,0.507751724
A-2_8-polyST,-0.003077394,0.743956835,0.870043435
A-sol_ELP1,-0.00370861,0.693867343,0.870043435
A24_N_bact,-0.02734208,0.00370225,0.035287648
A2L_zn_ribbon,-0.007333749,0.436349069,0.870043435
A2M,-0.010830003,0.250362649,0.792815055
A2M_BRD,-0.009650167,0.305722867,0.866527852
A2M_bMG2,-0.00893181,0.34313417,0.870043435
A9CJY8-like_N,-0.001866186,0.842992913,0.870043435
AAA,-0.124717233,2.69E-40,7.57E-38
AAA-ATPase_like,-0.006895109,0.464280532,0.870043435
AAA_10,-0.094180986,1.27E-23,1.52E-21
AAA_11,-0.057264614,1.18E-09,3.84E-08
AAA_12,-0.044704264,2.06E-06,4.17E-05
AAA_13,-0.044184095,2.71E-06,5.34E-05
AAA_14,-0.089383055,1.99E-21,1.83E-19
AAA_15,-0.083621408,6.07E-19,4.64E-17
AAA_16,-0.167965211,4.42E-72,4.25E-69
AAA_17,-0.034226688,0.000279395,0.003616451
AAA_18,-0.084656211,2.23E-19,1.80E-17
AAA_19,-0.137369419,1.36E-48,5.62E-46
AAA_2,-0.066763171,1.30E-12,5.81E-11
AAA_21,-0.125809128,5.58E-41,1.61E-38
AAA_22,-0.163619913,1.91E-68,1.69E-65
AAA_23,-0.105386431,3.39E-29,5.83E-27
AAA_24,-0.056853802,1.55E-09,4.93E-08
AAA_25,-0.070462862,7.00E-14,3.54E-12
AAA_26,-0.019495087,0.03851841,0.231591874
AAA_27,-0.049409058,1.54E-07,3.77E-06
AAA_28,-0.071009074,4.49E-14,2.29E-12
AAA_29,-0.123784438,1.02E-39,2.74E-37
AAA_3,-0.045370537,1.45E-06,3.02E-05
AAA_30,-0.146173271,7.53E-55,3.47E-52
AAA_31,-0.224118739,2.90E-128,7.33E-125
AAA_32,-0.005227299,0.579031614,0.870043435
AAA_33,-0.079455282,3.01E-17,2.08E-15
AAA_34,-0.024338576,0.009779167,0.081107715
AAA_35,-0.009635092,0.306479062,0.86717144
AAA_5,-0.09975511,2.57E-26,3.80E-24
AAA_6,-0.008537518,0.364861535,0.870043435
AAA_7,-0.075255353,1.26E-15,7.45E-14
AAA_PrkA,-0.007532972,0.423989844,0.870043435
AAA_assoc_2,-0.011523657,0.22129328,0.74865808
AAA_assoc_C,-0.007613458,0.419055394,0.870043435
AAA_lid_13,-0.002209574,0.814587549,0.870043435
AAA_lid_2,-0.013927353,0.139342941,0.576207292
AAA_lid_3,-0.028429884,0.002544512,0.025741982
AAA_lid_4,-0.003005583,0.749729344,0.870043435
AAA_lid_6,-0.012706617,0.177445245,0.661296376
AAA_lid_7,-0.001878325,0.841985084,0.870043435
AAA_lid_8,-0.008136991,0.387792006,0.870043435
AAA_lid_9,-0.043368854,4.12E-06,7.90E-05
AAA_lid_PRS2_C,-0.00309652,0.742421835,0.870043435
AAL_decarboxy,-0.013187964,0.161586133,0.627690458
AAR2,-0.002091627,0.824318747,0.870043435
AAR2_1st,-0.002091627,0.824318747,0.870043435
AASDHPPT_N,-0.016287761,0.08384389,0.41625983
AAT,-0.015132089,0.108246155,0.491690784
AATase,-0.004304102,0.647803909,0.870043435
AA_kinase,-0.023957625,0.010987633,0.089051563
AA_permease,-0.039123132,3.27E-05,0.000519237
AA_permease_2,-0.039799462,2.38E-05,0.000390109
AA_permease_C,-0.011479076,0.223085517,0.752070223
AA_synth,-0.014818773,0.115749567,0.513895487
ABA4-like,-0.006181893,0.511748523,0.870043435
ABATE,-0.014399522,0.126422405,0.541481284
ABC-3,-0.050348611,8.94E-08,2.27E-06
ABC1,-0.023491431,0.012645787,0.09996152
ABC2_membrane,-0.033451198,0.000383312,0.004831401
ABC2_membrane_2,-0.026749023,0.004518455,0.041622475
ABC2_membrane_3,-0.032055922,0.000666237,0.007937721
ABC2_membrane_4,-0.027329579,0.003717972,0.035379019
ABC2_membrane_5,-0.013420049,0.154332928,0.609980007
ABC2_membrane_6,-0.002220841,0.813659393,0.870043435
ABC2_membrane_7,-0.003094849,0.742555898,0.870043435
ABCA12_C,-0.002180903,0.816950499,0.870043435
ABC_ATPase,-0.067833223,5.69E-13,2.61E-11
ABC_N,-0.004771252,0.612578255,0.870043435
ABC_cobalt,-0.002146874,0.819757121,0.870043435
ABC_export,-0.003020945,0.748493259,0.870043435
ABC_membrane,-0.060992472,9.21E-11,3.41E-09
ABC_membrane_2,-0.0136925,0.146136967,0.590745754
ABC_membrane_3,-0.012849225,0.172630401,0.65212788
ABC_sub_bind,-0.013380043,0.15556526,0.613169564
ABC_toxin_N,-0.004513155,0.631936323,0.870043435
ABC_tran,-0.147410478,9.23E-56,4.43E-53
ABC_tran_CTD,-0.020565175,0.02904301,0.189667631
ABC_tran_Xtn,-0.029936007,0.001483199,0.016322266
ABC_trans_CmpB,-0.003018983,0.748651114,0.870043435
ABC_trans_aux,-0.024880694,0.008263608,0.070231535
ABC_transp_aux,-0.005323882,0.572039209,0.870043435
ABG_transport,-0.009253955,0.32600945,0.870043435
ABHD18,-0.008983211,0.340363874,0.870043435
ABM,-0.040318365,1.86E-05,0.000311568
ACAD9-ACADV_C,-0.006465049,0.492605298,0.870043435
ACAS_N,-0.019737635,0.03616698,0.221163189
ACBP4_C,-0.00325288,0.729911521,0.870043435
ACCA,-0.016047211,0.088517565,0.430384941
ACCA_BT,-0.002843107,0.762841209,0.870043435
ACC_epsilon,-0.003677341,0.696319518,0.870043435
ACDH_C,-0.004700724,0.617842064,0.870043435
ACOX,-0.00265558,0.778059494,0.870043435
ACOX_C_alpha1,-0.027354435,0.003686771,0.035227452
ACP,-0.012464413,0.185850743,0.677867369
ACPS,-0.022875623,0.015173676,0.114828086
