AnnotationAccession,SeqID,Plasmid_Length,Genus,Kingdom,Annotation,isolation_source
GCF_003491385.1_ASM349138v1,NZ_CP030358.1,11534,Salinibacter,Bacteria,Water,ENVO:00002006
GCF_001548175.1_ASM154817v1,NZ_AP014870.1,14827,Bacillus,Bacteria,Unannotated,
GCF_003491385.1_ASM349138v1,NZ_CP030359.1,14894,Salinibacter,Bacteria,Water,ENVO:00002006
GCF_002073815.2_ASM207381v2,NZ_CP020430.1,20536,Streptococcus,Bacteria,Humans,Peripheral blood
GCF_016903395.1_ASM1690339v1,NZ_CP069902.1,60872,Klebsiella,Bacteria,Humans,
GCF_013364455.1_ASM1336445v1,NZ_CP054888.1,51857,Shigella,Bacteria,,
GCF_019048525.1_ASM1904852v1,NZ_CP077372.1,24345,Acinetobacter,Bacteria,Unannotated,
GCF_019047025.1_ASM1904702v1,NZ_CP077409.1,17233,Enterobacter,Bacteria,Unannotated,
GCF_028216035.1_ASM2821603v1,NZ_CP116470.1,130728,Limosilactobacillus,Bacteria,,
GCF_013401495.1_ASM1340149v1,NZ_CP058528.1,214233,Agrobacterium,Bacteria,Unannotated,
GCF_016727305.1_ASM1672730v1,NZ_CP068127.1,58432,Enterococcus,Bacteria,Unannotated,
GCF_032607615.1_ASM3260761v1,NZ_CP119361.1,24632,Borreliella,Bacteria,,
GCF_016904415.1_ASM1690441v1,NZ_CP070106.1,30085,Klebsiella,Bacteria,Humans,
GCF_028216035.1_ASM2821603v1,NZ_CP116472.1,20354,Limosilactobacillus,Bacteria,,
GCF_028216035.1_ASM2821603v1,NZ_CP116471.1,31264,Limosilactobacillus,Bacteria,,
GCF_002442535.1_ASM244253v1,NZ_CP023646.1,214673,Shigella,Bacteria,Humans,
GCF_016903915.1_ASM1690391v1,NZ_CP069997.1,47037,Escherichia,Bacteria,Humans,
GCF_029229465.1_ASM2922946v1,NZ_CP117858.1,173561,Komagataeibacter,Bacteria,Unannotated,
GCF_027943585.1_ASM2794358v1,NZ_AP019758.1,37330,Coxiella,Bacteria,Humans,serum
GCF_019046905.1_ASM1904690v1,NZ_CP077208.1,14816,Enterobacter,Bacteria,Unannotated,
GCF_016406285.1_ASM1640628v1,NZ_CP066360.1,172809,Sinorhizobium,Bacteria,Plants,
GCF_020628355.1_ASM2062835v1,NZ_CP081460.1,135687,Vagococcus,Bacteria,Water,marine sponge
GCF_016403185.1_ASM1640318v1,NZ_CP066283.1,30326,Enterobacter,Bacteria,,
GCF_016903995.1_ASM1690399v1,NZ_CP070035.1,51967,Escherichia,Bacteria,Humans,
GCF_002636215.1_ASM263621v1,NZ_CP023951.1,38216,Klebsiella,Bacteria,,
GCF_030758235.1_ASM3075823v1,NZ_CP132331.1,39087,Bordetella,Bacteria,,
GCF_000024285.1_ASM2428v1,NC_013207.1,87298,Alicyclobacillus,Bacteria,Unannotated,
GCF_000834795.1_ASM83479v1,NZ_CP009845.1,69199,Yersinia,Bacteria,,
GCF_029229465.1_ASM2922946v1,NZ_CP117859.1,259334,Komagataeibacter,Bacteria,Unannotated,
GCF_031889005.1_ASM3188900v1,NZ_CP134731.1,181783,Pantoea,Bacteria,,
GCF_020341455.1_ASM2034145v1,NZ_CP084361.1,152031,Ralstonia,Bacteria,,
GCF_029215935.1_ASM2921593v1,NZ_CP119373.1,72656,Tsukamurella,Bacteria,,
