Node,Community,PIRACopyNumber,Plasmid_Length,Total_Chromosome_Length
NZ_CP030358.1,0,0.075788028,11534,3598883
NZ_CP025065.1,0,1.459214928,24356,4231441
NZ_AP022949.1,1,11.99066747,35290,5342104
NZ_CP012742.1,0,12.73188415,4944,2074179
NZ_CP104091.1,0,15.7354258,2630,3206682
NZ_CP032701.1,0,23.3900869,4968,1828132
NZ_CP097041.1,2,26.66833351,3114,2818721
NZ_AP014870.1,0,0.081079267,14827,5896839
NZ_CP136437.1,0,6.073308477,7599,4270393
NZ_AP022969.1,0,12.99511887,3940,5459613
NZ_CP053974.1,0,17.71330206,11335,5415637
NZ_CP083094.1,0,18.85879727,14817,5713893
NZ_CP083122.1,0,23.74648408,14976,5676138
NZ_CP083110.1,0,24.51902419,14754,5674619
NZ_CP030359.1,1,0.08383259,14894,3598883
NZ_CP073150.1,1,0.432346994,29451,929359
NZ_CP073151.1,1,0.47002355,60105,929359
NZ_CP119381.1,1,0.527824112,57991,903203
NZ_CP044643.1,1,0.54984369,5156,905334
NZ_CP075388.1,1,0.598819033,59540,927759
NZ_CP118297.1,1,0.641571093,58117,903324
NZ_CP073156.1,1,0.668893913,73424,929359
NZ_CP075382.1,1,0.669825076,27593,927759
NZ_CP073139.1,1,0.68231265,54690,927976
NZ_CP119365.1,1,0.793393645,58084,901955
NZ_CP119390.1,1,0.816127561,57034,902489
NZ_CP118305.1,1,0.816437914,57049,902845
NZ_CP075387.1,1,0.840218686,58538,927759
NZ_CP073162.1,1,0.857803642,58045,926405
NZ_CP044803.1,1,0.857931675,5004,903844
NZ_CP044819.1,1,0.858725912,3281,903844
NZ_CP073198.1,1,0.879681836,159477,925548
NZ_CP075400.1,1,0.895099538,56673,927759
NZ_CP073158.1,1,0.910063579,93075,929359
NZ_CP075089.1,1,0.921432563,27642,920509
NZ_CP073182.1,1,0.932375399,158008,925473
NZ_CP075080.1,1,0.932646473,30242,920509
NZ_CP117907.1,1,0.941803441,22553,903375
NZ_CP075391.1,1,0.996504135,109607,927759
NZ_CP075384.1,1,1.142776617,28558,927759
NZ_CP073137.1,1,1.144896644,29472,927976
NZ_CP073196.1,1,1.175882835,60337,925548
NZ_CP075401.1,1,1.181745019,64804,927759
NZ_CP117917.1,1,1.189288726,56902,900541
NZ_CP073149.1,1,1.195510878,30416,929359
NZ_CP073203.1,1,1.214449569,33670,925548
NZ_CP117901.1,1,1.228635358,55700,901917
NZ_CP073205.1,1,1.238984405,41922,925548
NZ_CP073195.1,1,1.2858031,31074,925548
NZ_CP073161.1,1,1.301176237,28943,926405
NZ_CP044651.1,1,1.319781763,3457,905334
NZ_CP075380.1,1,1.33132608,26947,927759
NZ_CP073165.1,1,1.435686809,18100,926405
NZ_CP073201.1,1,1.447842563,30331,925548
NZ_CP075397.1,1,1.498866932,41322,927759
NZ_CP073223.1,1,1.515835206,126492,926328
NZ_CP117893.1,1,1.560801601,55632,901779
NZ_CP073170.1,1,1.562476986,32390,926405
NZ_CP073160.1,1,1.581206726,28228,926405
NZ_CP073193.1,1,1.586058697,30284,925548
NZ_CP117908.1,1,1.599810125,57197,903375
NZ_CP075078.1,1,1.627810812,30410,920509
NZ_CP075079.1,1,1.640691796,29804,920509
NZ_CP073171.1,1,1.644469387,34120,926405
NZ_CP073138.1,1,1.658988449,29738,927976
NZ_CP073194.1,1,1.715284874,29858,925548
NZ_CP116875.1,1,1.856884202,54111,912938
NZ_CP073180.1,1,1.865816473,49203,925473
NZ_CP075396.1,1,1.872511752,39328,927759
NZ_CP075081.1,1,2.046519519,48229,920509
NZ_CP019765.1,1,2.121021793,53650,909921
NZ_CP019854.1,1,2.147281868,53650,909921
NZ_CP019925.1,1,2.358988735,53650,910728
NZ_CP102876.1,3,2.487035124,4473,5286105
NZ_CP088250.1,1,2.549504184,16127,5389100
NZ_CP059018.1,1,2.552704323,17818,906948
NZ_CP073227.1,1,2.776658521,29698,926328
NZ_CP073178.1,1,3.098713149,30147,925473
NZ_CP059016.1,1,3.149385222,30012,906948
NZ_CP073202.1,1,3.592542708,31765,925548
NZ_AP022923.1,1,3.776392618,24527,5348515
NZ_CP073177.1,1,3.90354189,30379,925473
NZ_CP059011.1,1,3.90498966,58586,906948
NZ_CP080231.1,1,5.113095719,5128,4963420
NC_015664.1,1,5.966166803,12355,5323186
NZ_CP059027.1,1,6.959433299,18985,906948
NZ_CP023889.1,1,12.26346096,4779,5633990
NZ_CP059025.1,1,15.89355473,30693,906948
NZ_CP013969.1,1,22.13284697,6045,5100520
NZ_CP129389.1,1,24.15298633,4779,4711862
NZ_CP128896.1,3,92.2678933,4991,4808740
NZ_CP020430.1,2,0.095126046,20536,2208045
NZ_CP124817.1,2,5.199172375,9547,5033604
NZ_CP056346.1,2,50.76770599,9581,5331005
NZ_CP069902.1,4,0.110018483,60872,5220139
NZ_CP054287.1,4,0.317724821,156980,5266171
NZ_CP050746.1,4,0.332828699,115084,4970193
NZ_CP102872.1,4,0.333310621,118931,5286105
NZ_CP082361.1,4,0.334408447,150808,5995415
NZ_CP084834.1,4,0.389760087,109813,5324939
NZ_CP034178.1,4,0.401242059,81814,4724806
NZ_CP124333.1,4,0.428312834,105993,5285675
NZ_CP039501.1,4,0.438521413,81815,4724790
NZ_CP045752.1,4,0.43858199,81815,4726706
NZ_CP117245.1,4,0.453248662,93832,4870254
NZ_CP104367.1,4,0.463040408,93844,4863704
NZ_CP074664.1,4,0.465373772,93960,4868432
NZ_CP084773.1,4,0.486124728,150964,5255898
NZ_CP071395.1,4,0.489924099,170909,5924548
NZ_CP014050.2,4,0.517217348,93933,4857490
NZ_CP051406.1,4,0.522964545,95919,4820130
NZ_CP030342.1,4,0.528544416,113639,5379490
NZ_CP054280.1,5,0.5419643,109094,4995557
NZ_CP039474.1,4,0.543222951,81900,4726548
NZ_CP089029.1,4,0.547748556,124933,5462996
NZ_CP084776.1,4,0.550762619,84354,5255898
NZ_CP039479.1,4,0.554123105,81940,4726552
NZ_CP118385.1,4,0.557020236,67458,4916674
NZ_CP051268.1,4,0.558233587,93798,4815388
NZ_CP045755.1,4,0.573434893,81815,4726556
NZ_CP039492.1,4,0.578154121,81941,4726555
NZ_CP075038.1,4,0.578572829,147099,4620577
NZ_CP087614.1,4,0.580013866,81442,5319600
NZ_CP039470.1,4,0.583898212,81940,4726545
NZ_CP039481.1,4,0.59681544,81938,4726543
NZ_CP039488.1,4,0.607434987,81815,4726557
NZ_CP084788.1,4,0.608812837,104756,5084979
NZ_CP030785.2,4,0.619115,81130,4809821
NZ_CP039494.1,4,0.621797455,81941,4726500
NZ_CP045758.1,4,0.622714403,81815,4726556
NZ_CP023443.1,4,0.623153373,117859,5224774
NZ_CP039483.1,4,0.625922419,81939,4726558
NZ_CP089028.1,4,0.632793306,107790,5462996
NZ_CP089944.1,4,0.635529159,39625,4874086
NZ_CP029102.1,4,0.640672574,135655,5439007
NZ_CM001154.1,4,0.642378918,87371,4658698
NZ_CP084846.1,4,0.646977068,101892,5336167
NZ_CP039472.1,4,0.649150553,81911,4726554
NZ_CP037876.1,4,0.651765162,96545,4786287
NZ_CP027158.1,4,0.661105434,113639,5194420
NZ_CP085204.1,4,0.66296063,58626,4594703
NZ_CP037744.1,4,0.66309255,121239,5393085
NZ_CP039464.1,4,0.664491108,81940,4726559
NZ_CP041133.1,4,0.664550469,77267,5309876
NZ_CP039497.1,4,0.672314667,81942,4726555
NZ_CP045760.1,4,0.673344287,81815,4726556
NZ_CP077408.1,4,0.677197033,151584,4748459
NZ_CP037873.1,4,0.684387684,93844,4817234
NZ_CP084781.1,4,0.684470855,130593,5106924
NZ_CP028041.1,4,0.689360676,74494,3928779
NZ_CP039485.1,4,0.694008625,81929,4726550
NZ_CP041128.1,4,0.695714842,63265,5366294
NZ_CP056720.1,4,0.697298982,123311,4939254
NZ_CP050741.1,4,0.698039348,108574,4948999
NZ_OX637963.1,4,0.701689607,78028,4918295
NZ_CP027301.1,4,0.709519663,76484,5142714
NZ_CP082354.1,4,0.71268061,51921,4355802
NZ_CP025556.1,4,0.714989104,93832,4870262
NZ_CP056141.1,4,0.740102349,92475,5850397
NZ_CP030176.1,4,0.749755567,148530,4822474
NZ_CP013026.1,4,0.757598267,63800,5155368
NZ_CP077292.1,4,0.776444764,88902,4875913
NZ_CP060170.1,4,0.782617314,93813,4877978
NZ_CP051377.1,4,0.782686694,94046,4870722
NZ_CP024296.1,4,0.783209099,97297,5116580
NZ_CP065175.1,4,0.784986986,132740,5275802
NZ_CP019175.1,4,0.785228033,94727,4805333
NZ_CP056685.1,4,0.786419442,128344,5959281
NZ_CP099589.1,4,0.78780289,99158,4675322
NZ_CP123239.1,4,0.795692976,81424,4745987
NZ_CP034319.1,4,0.797810781,143593,4978738
NZ_CP050736.1,4,0.797896234,110163,4906732
