SeqID,Degree,PCN,Plasmid_Length
NZ_CP030358.1,6,0.075788028,11534
NZ_CP025065.1,2,1.459214928,24356
NZ_AP022949.1,3,11.99066747,35290
NZ_CP012742.1,8,12.73188415,4944
NZ_CP104091.1,6,15.7354258,2630
NZ_CP032701.1,8,23.3900869,4968
NZ_CP097041.1,13,26.66833351,3114
NZ_AP014870.1,6,0.081079267,14827
NZ_CP136437.1,85,6.073308477,7599
NZ_AP022969.1,70,12.99511887,3940
NZ_CP053974.1,6,17.71330206,11335
NZ_CP083094.1,7,18.85879727,14817
NZ_CP083122.1,7,23.74648408,14976
NZ_CP083110.1,7,24.51902419,14754
NZ_CP030359.1,76,0.08383259,14894
NZ_CP073150.1,200,0.432346994,29451
NZ_CP073151.1,221,0.47002355,60105
NZ_CP119381.1,234,0.527824112,57991
NZ_CP044643.1,285,0.54984369,5156
NZ_CP075388.1,227,0.598819033,59540
NZ_CP118297.1,234,0.641571093,58117
NZ_CP073156.1,217,0.668893913,73424
NZ_CP075382.1,212,0.669825076,27593
NZ_CP073139.1,213,0.68231265,54690
NZ_CP119365.1,234,0.793393645,58084
NZ_CP119390.1,234,0.816127561,57034
NZ_CP118305.1,234,0.816437914,57049
NZ_CP075387.1,214,0.840218686,58538
NZ_CP073162.1,211,0.857803642,58045
NZ_CP044803.1,277,0.857931675,5004
NZ_CP044819.1,285,0.858725912,3281
NZ_CP073198.1,207,0.879681836,159477
NZ_CP075400.1,225,0.895099538,56673
NZ_CP073158.1,213,0.910063579,93075
NZ_CP075089.1,277,0.921432563,27642
NZ_CP073182.1,207,0.932375399,158008
NZ_CP075080.1,215,0.932646473,30242
NZ_CP117907.1,277,0.941803441,22553
NZ_CP075391.1,214,0.996504135,109607
NZ_CP075384.1,205,1.142776617,28558
NZ_CP073137.1,214,1.144896644,29472
NZ_CP073196.1,209,1.175882835,60337
NZ_CP075401.1,215,1.181745019,64804
NZ_CP117917.1,234,1.189288726,56902
NZ_CP073149.1,214,1.195510878,30416
NZ_CP073203.1,223,1.214449569,33670
NZ_CP117901.1,213,1.228635358,55700
NZ_CP073205.1,238,1.238984405,41922
NZ_CP073195.1,210,1.2858031,31074
NZ_CP073161.1,209,1.301176237,28943
