Domain_name,high_pcn_freq,control_freq,high_pcn_freq_normalized,control_freq_normalized,abs_difference,fold_enrichment,p_value,p_value_corrected,neg_log10_p,Pfam_accession,GO_terms
2-Hacid_dh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00389,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor ; 0016616"
2-Hacid_dh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00389,NAD binding ; 0051287
2-Hacid_dh_C,0.0,0.00121599,0.0,0.003040669,-0.00121599,0.0,0.76380934,1.0,0.0,PF02826,NAD binding ; 0051287
3Beta_HSD,0.0,0.001975984,0.0,0.004941087,-0.001975984,0.0,0.820238702,1.0,0.0,PF01073,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor ; 0016616"
3Beta_HSD,0.0,0.001975984,0.0,0.004941087,-0.001975984,0.0,0.820238702,1.0,0.0,PF01073,steroid biosynthetic process ; 0006694
3HCDH,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00725,oxidoreductase activity ; 0016491
3HCDH,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00725,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor ; 0016616"
3HCDH,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00725,fatty acid metabolic process ; 0006631
3HCDH_N,0.0,0.000303998,0.0,0.000760167,-0.000303998,0.0,0.640377679,1.0,0.0,PF02737,NAD+ binding ; 0070403
3HCDH_N,0.0,0.000303998,0.0,0.000760167,-0.000303998,0.0,0.640377679,1.0,0.0,PF02737,fatty acid metabolic process ; 0006631
4HB_MCP_1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF12729,
4HBT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF03061,
4HBT_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF13279,
5_3_exonuc,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF01367,DNA binding ; 0003677
5_3_exonuc,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF01367,catalytic activity ; 0003824
5_3_exonuc_N,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF02739,DNA binding ; 0003677
A24_N_bact,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF06750,
AA_permease,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00324,transmembrane transport ; 0055085
AA_permease,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF00324,membrane ; 0016020
AA_permease_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF13520,transmembrane transporter activity ; 0022857
AA_permease_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF13520,transmembrane transport ; 0055085
AA_permease_2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF13520,membrane ; 0016020
AAA,0.0,0.00744794,0.0,0.018624097,-0.00744794,0.0,0.962728329,1.0,0.0,PF00004,ATP binding ; 0005524
AAA,0.0,0.00744794,0.0,0.018624097,-0.00744794,0.0,0.962728329,1.0,0.0,PF00004,ATP hydrolysis activity ; 0016887
AAA_10,0.0,0.016719866,0.0,0.041809198,-0.016719866,0.0,0.99635814,1.0,0.0,PF12846,
AAA_11,0.0,0.001823985,0.0,0.004561003,-0.001823985,0.0,0.810645916,1.0,0.0,PF13086,helicase activity ; 0004386
AAA_12,0.0,0.000911993,0.0,0.002280502,-0.000911993,0.0,0.733129859,1.0,0.0,PF13087,
AAA_13,0.0,0.000455996,0.0,0.001140251,-0.000455996,0.0,0.670073372,1.0,0.0,PF13166,
AAA_14,0.0,0.023407813,0.0,0.058532877,-0.023407813,0.0,0.999277294,1.0,0.0,PF13173,
AAA_15,0.0,0.00379997,0.0,0.00950209,-0.00379997,0.0,0.898247051,1.0,0.0,PF13175,
AAA_16,0.0,0.011855905,0.0,0.029646522,-0.011855905,0.0,0.987919974,1.0,0.0,PF13191,
AAA_17,0.0,0.000607995,0.0,0.001520334,-0.000607995,0.0,0.694321863,1.0,0.0,PF13207,
AAA_18,0.0,0.002887977,0.0,0.007221589,-0.002887977,0.0,0.866098218,1.0,0.0,PF13238,
AAA_19,0.0,0.014743882,0.0,0.036868111,-0.014743882,0.0,0.994093145,1.0,0.0,PF13245,
AAA_2,0.0,0.002279982,0.0,0.005701254,-0.002279982,0.0,0.837529362,1.0,0.0,PF07724,ATP binding ; 0005524
AAA_2,0.0,0.002279982,0.0,0.005701254,-0.002279982,0.0,0.837529362,1.0,0.0,PF07724,ATP hydrolysis activity ; 0016887
AAA_21,0.0,0.020215838,0.0,0.050551121,-0.020215838,0.0,0.998440502,1.0,0.0,PF13304,ATP binding ; 0005524
AAA_21,0.0,0.020215838,0.0,0.050551121,-0.020215838,0.0,0.998440502,1.0,0.0,PF13304,ATP hydrolysis activity ; 0016887
AAA_22,0.0,0.028879769,0.0,0.072215887,-0.028879769,0.0,0.999805575,1.0,0.0,PF13401,ATP hydrolysis activity ; 0016887
AAA_23,0.0,0.003951968,0.0,0.009882174,-0.003951968,0.0,0.902666819,1.0,0.0,PF13476,ATP hydrolysis activity ; 0016887
AAA_23,0.0,0.003951968,0.0,0.009882174,-0.003951968,0.0,0.902666819,1.0,0.0,PF13476,double-strand break repair ; 0006302
AAA_24,0.0,0.001823985,0.0,0.004561003,-0.001823985,0.0,0.810645916,1.0,0.0,PF13479,
AAA_25,0.0,0.007903937,0.0,0.019764348,-0.007903937,0.0,0.966927079,1.0,0.0,PF13481,
AAA_27,0.0,0.000151999,0.0,0.000380084,-0.000151999,0.0,0.600431378,1.0,0.0,PF13514,
AAA_28,0.0,0.001975984,0.0,0.004941087,-0.001975984,0.0,0.820238702,1.0,0.0,PF13521,
AAA_29,0.0,0.003039976,0.0,0.007601672,-0.003039976,0.0,0.872230179,1.0,0.0,PF13555,
AAA_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF07726,ATP binding ; 0005524
AAA_3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PF07726,ATP hydrolysis activity ; 0016887
AAA_30,0.0,0.013831889,0.0,0.034587609,-0.013831889,0.0,0.992605336,1.0,0.0,PF13604,
AAA_31,0.0,0.102599179,0.0,0.256556442,-0.102599179,0.0,1.0,1.0,0.0,PF13614,
AAA_33,0.0,0.005319957,0.0,0.013302927,-0.005319957,0.0,0.933921132,1.0,0.0,PF13671,
