plasmid_id,Plasmid_Length,host_taxonomy,ecosystem,Predicted_PCN,PCN,ecosystem_group,MOBF,MOBT,MOBH,MOBC,MOBQ,MOBP2,MOBP3,MOBV,MOBP1,MOBB,Total_mob_genes
IMGPR_plasmid_2042536001_000009,7822,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.308144662,9.055750518,Human_associated,0,0,0,0,0,0,0,0,0,1,1
IMGPR_plasmid_2042536001_000016,2633,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.619444396,36.31682867,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_2042536002_000001,4673,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.114123242,21.51368265,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_2042536002_000002,6754,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.280373808,8.780335695,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_2042536002_000005,9299,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.177860569,7.827400425,Human_associated,0,0,0,0,0,0,0,0,0,1,1
IMGPR_plasmid_2042536002_000008,3196,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.04795963,20.07230523,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_2149837016_000009,13039,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,1.936566757,5.934900855,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_2149837018_000002,5454,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.62399918,12.7907652,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_2149837021_000001,5039,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.846580445,16.22876627,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_2149837021_000002,5542,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.849741832,16.28331927,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_2149837021_000013,6885,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.341414171,9.395927791,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_2149837021_000024,2811,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.199046096,23.50913968,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_2149837023_000004,4206,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.08192621,20.80035405,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_2149837023_000009,5878,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.612081698,12.62738945,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_2149837023_000014,8984,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.26248472,8.606930066,Human_associated,0,0,0,0,0,0,0,0,0,1,1
IMGPR_plasmid_2149837024_000005,4208,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.103000871,21.26466451,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000274_000003,4192,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.10254888,21.25460337,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000274_000004,5639,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.981754683,18.72239285,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000274_000007,9148,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.252489193,8.511382055,Human_associated,0,0,0,0,0,0,0,0,0,1,1
IMGPR_plasmid_3300000275_000001,5490,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.885883681,16.91939564,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000275_000002,5649,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.226442569,8.26684122,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000275_000004,4202,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.051291251,20.14262725,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000276_000002,5092,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.003796441,19.16193541,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000276_000005,2549,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.499149861,32.08731118,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000276_000020,3413,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.886566883,16.93164238,Human_associated,0,0,0,0,0,0,0,0,0,0,0
IMGPR_plasmid_3300000276_000087,7360,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.208828061,8.105039584,Human_associated,0,1,0,0,0,0,0,0,0,0,1
IMGPR_plasmid_3300000277_000001,6016,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.855468453,16.38257822,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000277_000005,5575,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.790759075,15.293383,Human_associated,0,0,0,0,0,0,0,1,0,0,1
IMGPR_plasmid_3300000278_000155,5765,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.915451097,17.45713649,Human_associated,0,0,0,0,0,0,0,0,1,0,1
IMGPR_plasmid_3300000279_000003,3803,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,3.589237152,35.20644538,Human_associated,0,0,0,0,1,0,0,0,0,0,1
IMGPR_plasmid_3300000279_000011,4145,,Host-associated;Mammals: Human;Digestive system;Large intestine;Fecal,2.915044293,17.44962957,Human_associated,0,0,0,0,1,0,0,0,0,0,1
